Organism,Year,Ladder_Step,Count,Percent,Total_N,Sufficient
Pseudomonas aeruginosa,2020,1,28,3.32,843,YES
Pseudomonas aeruginosa,2020,2,14,1.66,843,YES
Pseudomonas aeruginosa,2020,3,0,0.0,843,YES
Pseudomonas aeruginosa,2020,4,133,15.78,843,YES
Pseudomonas aeruginosa,2021,0,686,78.76,871,YES
Pseudomonas aeruginosa,2021,1,48,5.51,871,YES
Pseudomonas aeruginosa,2021,2,15,1.72,871,YES
Pseudomonas aeruginosa,2021,3,0,0.0,871,YES
Pseudomonas aeruginosa,2021,4,122,14.01,871,YES
Pseudomonas aeruginosa,2022,0,676,78.79,858,YES
Pseudomonas aeruginosa,2022,1,41,4.78,858,YES
Pseudomonas aeruginosa,2022,2,13,1.52,858,YES
Pseudomonas aeruginosa,2022,3,0,0.0,858,YES
Pseudomonas aeruginosa,2022,4,128,14.92,858,YES
Pseudomonas aeruginosa,2023,0,416,78.79,528,YES
Pseudomonas aeruginosa,2023,1,20,3.79,528,YES
Pseudomonas aeruginosa,2023,2,8,1.52,528,YES
Pseudomonas aeruginosa,2023,3,0,0.0,528,YES
Pseudomonas aeruginosa,2023,4,84,15.91,528,YES
Pseudomonas aeruginosa,2024,0,460,81.27,566,YES
Pseudomonas aeruginosa,2024,1,24,4.24,566,YES
Pseudomonas aeruginosa,2024,2,7,1.24,566,YES
Pseudomonas aeruginosa,2024,3,0,0.0,566,YES
Pseudomonas aeruginosa,2024,4,75,13.25,566,YES
Enterobacter cloacae,2004,0,148,64.63,229,YES
Enterobacter cloacae,2004,1,52,22.71,229,YES
Enterobacter cloacae,2004,2,21,9.17,229,YES
Enterobacter cloacae,2004,3,8,3.49,229,YES
Enterobacter cloacae,2004,4,0,0.0,229,YES
Enterobacter cloacae,2005,0,145,55.56,261,YES
Enterobacter cloacae,2005,1,75,28.74,261,YES
Enterobacter cloacae,2005,2,38,14.56,261,YES
Enterobacter cloacae,2005,3,3,1.15,261,YES
Enterobacter cloacae,2005,4,0,0.0,261,YES
Enterobacter cloacae,2006,0,187,62.13,301,YES
Enterobacter cloacae,2006,1,62,20.6,301,YES
Enterobacter cloacae,2006,2,47,15.61,301,YES
Enterobacter cloacae,2006,3,5,1.66,301,YES
Enterobacter cloacae,2006,4,0,0.0,301,YES
Enterobacter cloacae,2007,0,282,61.71,457,YES
Enterobacter cloacae,2007,1,97,21.23,457,YES
Enterobacter cloacae,2007,2,69,15.1,457,YES
Enterobacter cloacae,2007,3,9,1.97,457,YES
Enterobacter cloacae,2007,4,0,0.0,457,YES
Enterobacter cloacae,2008,0,238,57.35,415,YES
Enterobacter cloacae,2008,1,101,24.34,415,YES
Enterobacter cloacae,2008,2,54,13.01,415,YES
Enterobacter cloacae,2008,3,22,5.3,415,YES
Enterobacter cloacae,2008,4,0,0.0,415,YES
Enterobacter cloacae,2009,0,263,55.14,477,YES
Enterobacter cloacae,2009,1,126,26.42,477,YES
Enterobacter cloacae,2009,2,74,15.51,477,YES
Enterobacter cloacae,2009,3,14,2.94,477,YES
Enterobacter cloacae,2009,4,0,0.0,477,YES
Enterobacter cloacae,2010,0,137,38.81,353,YES
Enterobacter cloacae,2010,1,141,39.94,353,YES
Enterobacter cloacae,2010,2,71,20.11,353,YES
Enterobacter cloacae,2010,3,4,1.13,353,YES
Enterobacter cloacae,2010,4,0,0.0,353,YES
Enterobacter cloacae,2011,0,165,60.0,275,YES
Enterobacter cloacae,2011,1,59,21.45,275,YES
Enterobacter cloacae,2011,2,40,14.55,275,YES
Enterobacter cloacae,2011,3,11,4.0,275,YES
Enterobacter cloacae,2011,4,0,0.0,275,YES
Enterobacter cloacae,2012,0,128,60.38,212,YES
Enterobacter cloacae,2012,1,53,25.0,212,YES
Enterobacter cloacae,2012,2,31,14.62,212,YES
Enterobacter cloacae,2012,3,0,0.0,212,YES
Enterobacter cloacae,2012,4,0,0.0,212,YES
Enterobacter cloacae,2013,0,158,60.31,262,YES
Enterobacter cloacae,2013,1,75,28.63,262,YES
Enterobacter cloacae,2013,2,25,9.54,262,YES
Enterobacter cloacae,2013,3,4,1.53,262,YES
Enterobacter cloacae,2013,4,0,0.0,262,YES
Enterobacter cloacae,2014,0,162,62.55,259,YES
Enterobacter cloacae,2014,1,55,21.24,259,YES
Enterobacter cloacae,2014,2,37,14.29,259,YES
Enterobacter cloacae,2014,3,4,1.54,259,YES
Enterobacter cloacae,2014,4,1,0.39,259,YES
Enterobacter cloacae,2015,0,179,65.81,272,YES
Enterobacter cloacae,2015,1,61,22.43,272,YES
Enterobacter cloacae,2015,2,23,8.46,272,YES
Enterobacter cloacae,2015,3,7,2.57,272,YES
Enterobacter cloacae,2015,4,2,0.74,272,YES
Enterobacter cloacae,2016,0,165,56.9,290,YES
Enterobacter cloacae,2016,1,80,27.59,290,YES
Enterobacter cloacae,2016,2,32,11.03,290,YES
Enterobacter cloacae,2016,3,8,2.76,290,YES
Enterobacter cloacae,2016,4,5,1.72,290,YES
Enterobacter cloacae,2017,0,130,58.56,222,YES
Enterobacter cloacae,2017,1,56,25.23,222,YES
Enterobacter cloacae,2017,2,23,10.36,222,YES
Enterobacter cloacae,2017,3,8,3.6,222,YES
Enterobacter cloacae,2017,4,5,2.25,222,YES
Enterobacter cloacae,2018,0,198,61.88,320,YES
Enterobacter cloacae,2018,1,46,14.37,320,YES
Enterobacter cloacae,2018,2,50,15.62,320,YES
Enterobacter cloacae,2018,3,0,0.0,320,YES
Enterobacter cloacae,2018,4,26,8.12,320,YES
Enterobacter cloacae,2019,0,130,59.63,218,YES
Enterobacter cloacae,2019,1,39,17.89,218,YES
Enterobacter cloacae,2019,2,33,15.14,218,YES
Enterobacter cloacae,2019,3,0,0.0,218,YES
Enterobacter cloacae,2019,4,16,7.34,218,YES
Enterobacter cloacae,2020,0,113,62.09,182,YES
Enterobacter cloacae,2020,1,36,19.78,182,YES
Enterobacter cloacae,2020,2,23,12.64,182,YES
Enterobacter cloacae,2020,3,0,0.0,182,YES
Enterobacter cloacae,2020,4,10,5.49,182,YES
Enterobacter cloacae,2021,0,81,67.5,120,YES
Enterobacter cloacae,2021,1,18,15.0,120,YES
Enterobacter cloacae,2021,2,13,10.83,120,YES
Enterobacter cloacae,2021,3,0,0.0,120,YES
Enterobacter cloacae,2021,4,8,6.67,120,YES
Enterobacter cloacae,2022,0,44,75.86,58,YES
Enterobacter cloacae,2022,1,7,12.07,58,YES
Enterobacter cloacae,2022,2,6,10.34,58,YES
Enterobacter cloacae,2022,3,0,0.0,58,YES
Enterobacter cloacae,2022,4,1,1.72,58,YES
Enterobacter cloacae,2023,0,11,68.75,16,YES
Enterobacter cloacae,2023,1,4,25.0,16,YES
Enterobacter cloacae,2023,2,0,0.0,16,YES
Enterobacter cloacae,2023,3,0,0.0,16,YES
Enterobacter cloacae,2023,4,1,6.25,16,YES
Enterobacter cloacae,2024,0,17,60.71,28,YES
Enterobacter cloacae,2024,1,3,10.71,28,YES
Enterobacter cloacae,2024,2,5,17.86,28,YES
Enterobacter cloacae,2024,3,0,0.0,28,YES
Enterobacter cloacae,2024,4,3,10.71,28,YES
Enterococcus faecium,2004,0,10,11.36,88,YES
Enterococcus faecium,2004,1,78,88.64,88,YES
Enterococcus faecium,2004,2,0,0.0,88,YES
Enterococcus faecium,2004,3,0,0.0,88,YES
Enterococcus faecium,2004,4,0,0.0,88,YES
Enterococcus faecium,2005,0,14,14.89,94,YES
Enterococcus faecium,2005,1,80,85.11,94,YES
Enterococcus faecium,2005,2,0,0.0,94,YES
Enterococcus faecium,2005,3,0,0.0,94,YES
Enterococcus faecium,2005,4,0,0.0,94,YES
Enterococcus faecium,2006,0,19,13.01,146,YES
Enterococcus faecium,2006,1,127,86.99,146,YES
Enterococcus faecium,2006,2,0,0.0,146,YES
Enterococcus faecium,2006,3,0,0.0,146,YES
Enterococcus faecium,2006,4,0,0.0,146,YES
Enterococcus faecium,2007,0,27,20.61,131,YES
Enterococcus faecium,2007,1,104,79.39,131,YES
Enterococcus faecium,2007,2,0,0.0,131,YES
Enterococcus faecium,2007,3,0,0.0,131,YES
Enterococcus faecium,2007,4,0,0.0,131,YES
Enterococcus faecium,2008,0,22,12.43,177,YES
Enterococcus faecium,2008,1,155,87.57,177,YES
Enterococcus faecium,2008,2,0,0.0,177,YES
Enterococcus faecium,2008,3,0,0.0,177,YES
Enterococcus faecium,2008,4,0,0.0,177,YES
Enterococcus faecium,2009,0,22,10.58,208,YES
Enterococcus faecium,2009,1,186,89.42,208,YES
Enterococcus faecium,2009,2,0,0.0,208,YES
Enterococcus faecium,2009,3,0,0.0,208,YES
Enterococcus faecium,2009,4,0,0.0,208,YES
Enterococcus faecium,2010,0,27,16.98,159,YES
Enterococcus faecium,2010,1,132,83.02,159,YES
Enterococcus faecium,2010,2,0,0.0,159,YES
Enterococcus faecium,2010,3,0,0.0,159,YES
Enterococcus faecium,2010,4,0,0.0,159,YES
Enterococcus faecium,2011,0,18,15.38,117,YES
Enterococcus faecium,2011,1,99,84.62,117,YES
Enterococcus faecium,2011,2,0,0.0,117,YES
Enterococcus faecium,2011,3,0,0.0,117,YES
Enterococcus faecium,2011,4,0,0.0,117,YES
Enterococcus faecium,2012,0,10,8.93,112,YES
Enterococcus faecium,2012,1,102,91.07,112,YES
Enterococcus faecium,2012,2,0,0.0,112,YES
Enterococcus faecium,2012,3,0,0.0,112,YES
Enterococcus faecium,2012,4,0,0.0,112,YES
Enterococcus faecium,2013,0,16,12.12,132,YES
Enterococcus faecium,2013,1,116,87.88,132,YES
Enterococcus faecium,2013,2,0,0.0,132,YES
Enterococcus faecium,2013,3,0,0.0,132,YES
Enterococcus faecium,2013,4,0,0.0,132,YES
Enterococcus faecium,2014,0,37,15.88,233,YES
Enterococcus faecium,2014,1,196,84.12,233,YES
Enterococcus faecium,2014,2,0,0.0,233,YES
Enterococcus faecium,2014,3,0,0.0,233,YES
Enterococcus faecium,2014,4,0,0.0,233,YES
Enterococcus faecium,2015,0,11,8.53,129,YES
Enterococcus faecium,2015,1,118,91.47,129,YES
Enterococcus faecium,2015,2,0,0.0,129,YES
Enterococcus faecium,2015,3,0,0.0,129,YES
Enterococcus faecium,2015,4,0,0.0,129,YES
Enterococcus faecium,2016,0,23,16.31,141,YES
Enterococcus faecium,2016,1,118,83.69,141,YES
Enterococcus faecium,2016,2,0,0.0,141,YES
Enterococcus faecium,2016,3,0,0.0,141,YES
Enterococcus faecium,2016,4,0,0.0,141,YES
Enterococcus faecium,2017,0,12,12.0,100,YES
Enterococcus faecium,2017,1,88,88.0,100,YES
Enterococcus faecium,2017,2,0,0.0,100,YES
Enterococcus faecium,2017,3,0,0.0,100,YES
Enterococcus faecium,2017,4,0,0.0,100,YES
Enterococcus faecium,2018,0,18,10.0,180,YES
Enterococcus faecium,2018,1,162,90.0,180,YES
Enterococcus faecium,2018,2,0,0.0,180,YES
Enterococcus faecium,2018,3,0,0.0,180,YES
Enterococcus faecium,2018,4,0,0.0,180,YES
Enterococcus faecium,2019,0,29,12.89,225,YES
Enterococcus faecium,2019,1,196,87.11,225,YES
Enterococcus faecium,2019,2,0,0.0,225,YES
Enterococcus faecium,2019,3,0,0.0,225,YES
Enterococcus faecium,2019,4,0,0.0,225,YES
Enterococcus faecium,2020,0,24,11.37,211,YES
Enterococcus faecium,2020,1,187,88.63,211,YES
Enterococcus faecium,2020,2,0,0.0,211,YES
Enterococcus faecium,2020,3,0,0.0,211,YES
Enterococcus faecium,2020,4,0,0.0,211,YES
Enterococcus faecium,2021,0,36,13.38,269,YES
Enterococcus faecium,2021,1,233,86.62,269,YES
Enterococcus faecium,2021,2,0,0.0,269,YES
Enterococcus faecium,2021,3,0,0.0,269,YES
Enterococcus faecium,2021,4,0,0.0,269,YES
Enterococcus faecium,2022,0,38,13.33,285,YES
Enterococcus faecium,2022,1,247,86.67,285,YES
Enterococcus faecium,2022,2,0,0.0,285,YES
Enterococcus faecium,2022,3,0,0.0,285,YES
Enterococcus faecium,2022,4,0,0.0,285,YES
Enterococcus faecium,2023,0,29,13.49,215,YES
Enterococcus faecium,2023,1,186,86.51,215,YES
Enterococcus faecium,2023,2,0,0.0,215,YES
Enterococcus faecium,2023,3,0,0.0,215,YES
Enterococcus faecium,2023,4,0,0.0,215,YES
Enterococcus faecium,2024,0,35,14.23,246,YES
Enterococcus faecium,2024,1,211,85.77,246,YES
Enterococcus faecium,2024,2,0,0.0,246,YES
Enterococcus faecium,2024,3,0,0.0,246,YES
Enterococcus faecium,2024,4,0,0.0,246,YES
Staphylococcus epidermidis,2010,0,1,100.0,1,NO
Staphylococcus epidermidis,2010,1,0,0.0,1,NO
Staphylococcus epidermidis,2010,2,0,0.0,1,NO
Staphylococcus epidermidis,2010,3,0,0.0,1,NO
Staphylococcus epidermidis,2010,4,0,0.0,1,NO
Staphylococcus epidermidis,2011,0,2,100.0,2,NO
Staphylococcus epidermidis,2011,1,0,0.0,2,NO
Staphylococcus epidermidis,2011,2,0,0.0,2,NO
Staphylococcus epidermidis,2011,3,0,0.0,2,NO
Staphylococcus epidermidis,2011,4,0,0.0,2,NO
Staphylococcus epidermidis,2012,0,78,100.0,78,YES
Staphylococcus epidermidis,2012,1,0,0.0,78,YES
Staphylococcus epidermidis,2012,2,0,0.0,78,YES
Staphylococcus epidermidis,2012,3,0,0.0,78,YES
Staphylococcus epidermidis,2012,4,0,0.0,78,YES
Staphylococcus epidermidis,2013,0,112,100.0,112,YES
Staphylococcus epidermidis,2013,1,0,0.0,112,YES
Staphylococcus epidermidis,2013,2,0,0.0,112,YES
Staphylococcus epidermidis,2013,3,0,0.0,112,YES
Staphylococcus epidermidis,2013,4,0,0.0,112,YES
Staphylococcus epidermidis,2014,0,324,100.0,324,YES
Staphylococcus epidermidis,2014,1,0,0.0,324,YES
Staphylococcus epidermidis,2014,2,0,0.0,324,YES
Staphylococcus epidermidis,2014,3,0,0.0,324,YES
Staphylococcus epidermidis,2014,4,0,0.0,324,YES
Staphylococcus epidermidis,2015,0,398,100.0,398,YES
Staphylococcus epidermidis,2015,1,0,0.0,398,YES
Staphylococcus epidermidis,2015,2,0,0.0,398,YES
Staphylococcus epidermidis,2015,3,0,0.0,398,YES
Staphylococcus epidermidis,2015,4,0,0.0,398,YES
Staphylococcus epidermidis,2016,0,306,100.0,306,YES
Staphylococcus epidermidis,2016,1,0,0.0,306,YES
Staphylococcus epidermidis,2016,2,0,0.0,306,YES
Staphylococcus epidermidis,2016,3,0,0.0,306,YES
Staphylococcus epidermidis,2016,4,0,0.0,306,YES
Staphylococcus epidermidis,2017,0,309,100.0,309,YES
Staphylococcus epidermidis,2017,1,0,0.0,309,YES
Staphylococcus epidermidis,2017,2,0,0.0,309,YES
Staphylococcus epidermidis,2017,3,0,0.0,309,YES
Staphylococcus epidermidis,2017,4,0,0.0,309,YES
Staphylococcus epidermidis,2018,0,385,100.0,385,YES
Staphylococcus epidermidis,2018,1,0,0.0,385,YES
Staphylococcus epidermidis,2018,2,0,0.0,385,YES
Staphylococcus epidermidis,2018,3,0,0.0,385,YES
Staphylococcus epidermidis,2018,4,0,0.0,385,YES
Staphylococcus epidermidis,2019,0,361,100.0,361,YES
Staphylococcus epidermidis,2019,1,0,0.0,361,YES
Staphylococcus epidermidis,2019,2,0,0.0,361,YES
Staphylococcus epidermidis,2019,3,0,0.0,361,YES
Staphylococcus epidermidis,2019,4,0,0.0,361,YES
Staphylococcus epidermidis,2020,0,444,100.0,444,YES
Staphylococcus epidermidis,2020,1,0,0.0,444,YES
Staphylococcus epidermidis,2020,2,0,0.0,444,YES
Staphylococcus epidermidis,2020,3,0,0.0,444,YES
Staphylococcus epidermidis,2020,4,0,0.0,444,YES
Staphylococcus epidermidis,2021,0,445,100.0,445,YES
Staphylococcus epidermidis,2021,1,0,0.0,445,YES
Staphylococcus epidermidis,2021,2,0,0.0,445,YES
Staphylococcus epidermidis,2021,3,0,0.0,445,YES
Staphylococcus epidermidis,2021,4,0,0.0,445,YES
Staphylococcus epidermidis,2022,0,307,100.0,307,YES
Staphylococcus epidermidis,2022,1,0,0.0,307,YES
Staphylococcus epidermidis,2022,2,0,0.0,307,YES
Staphylococcus epidermidis,2022,3,0,0.0,307,YES
Staphylococcus epidermidis,2022,4,0,0.0,307,YES
Staphylococcus epidermidis,2023,0,286,100.0,286,YES
Staphylococcus epidermidis,2023,1,0,0.0,286,YES
Staphylococcus epidermidis,2023,2,0,0.0,286,YES
Staphylococcus epidermidis,2023,3,0,0.0,286,YES
Staphylococcus epidermidis,2023,4,0,0.0,286,YES
Staphylococcus epidermidis,2024,0,372,100.0,372,YES
Staphylococcus epidermidis,2024,1,0,0.0,372,YES
Staphylococcus epidermidis,2024,2,0,0.0,372,YES
Staphylococcus epidermidis,2024,3,0,0.0,372,YES
Staphylococcus epidermidis,2024,4,0,0.0,372,YES
Serratia marcescens,2004,0,95,77.87,122,YES
Serratia marcescens,2004,1,9,7.38,122,YES
Serratia marcescens,2004,2,12,9.84,122,YES
Serratia marcescens,2004,3,6,4.92,122,YES
Serratia marcescens,2004,4,0,0.0,122,YES
Serratia marcescens,2005,0,87,69.05,126,YES
Serratia marcescens,2005,1,18,14.29,126,YES
Serratia marcescens,2005,2,10,7.94,126,YES
Serratia marcescens,2005,3,11,8.73,126,YES
Serratia marcescens,2005,4,0,0.0,126,YES
Serratia marcescens,2006,0,109,69.87,156,YES
Serratia marcescens,2006,1,20,12.82,156,YES
Serratia marcescens,2006,2,23,14.74,156,YES
Serratia marcescens,2006,3,4,2.56,156,YES
Serratia marcescens,2006,4,0,0.0,156,YES
Serratia marcescens,2007,0,162,73.3,221,YES
Serratia marcescens,2007,1,32,14.48,221,YES
Serratia marcescens,2007,2,19,8.6,221,YES
Serratia marcescens,2007,3,8,3.62,221,YES
Serratia marcescens,2007,4,0,0.0,221,YES
Serratia marcescens,2008,0,168,73.04,230,YES
Serratia marcescens,2008,1,31,13.48,230,YES
Serratia marcescens,2008,2,23,10.0,230,YES
Serratia marcescens,2008,3,8,3.48,230,YES
Serratia marcescens,2008,4,0,0.0,230,YES
Serratia marcescens,2009,0,171,75.66,226,YES
Serratia marcescens,2009,1,21,9.29,226,YES
Serratia marcescens,2009,2,28,12.39,226,YES
Serratia marcescens,2009,3,6,2.65,226,YES
Serratia marcescens,2009,4,0,0.0,226,YES
Serratia marcescens,2010,0,100,56.18,178,YES
Serratia marcescens,2010,1,51,28.65,178,YES
Serratia marcescens,2010,2,24,13.48,178,YES
Serratia marcescens,2010,3,3,1.69,178,YES
Serratia marcescens,2010,4,0,0.0,178,YES
Serratia marcescens,2011,0,116,81.69,142,YES
Serratia marcescens,2011,1,17,11.97,142,YES
Serratia marcescens,2011,2,6,4.23,142,YES
Serratia marcescens,2011,3,3,2.11,142,YES
Serratia marcescens,2011,4,0,0.0,142,YES
Serratia marcescens,2012,0,96,81.36,118,YES
Serratia marcescens,2012,1,13,11.02,118,YES
Serratia marcescens,2012,2,8,6.78,118,YES
Serratia marcescens,2012,3,1,0.85,118,YES
Serratia marcescens,2012,4,0,0.0,118,YES
Serratia marcescens,2013,0,107,86.29,124,YES
Serratia marcescens,2013,1,9,7.26,124,YES
Serratia marcescens,2013,2,7,5.65,124,YES
Serratia marcescens,2013,3,1,0.81,124,YES
Serratia marcescens,2013,4,0,0.0,124,YES
Serratia marcescens,2014,0,131,86.75,151,YES
Serratia marcescens,2014,1,10,6.62,151,YES
Serratia marcescens,2014,2,9,5.96,151,YES
Serratia marcescens,2014,3,1,0.66,151,YES
Serratia marcescens,2014,4,0,0.0,151,YES
Serratia marcescens,2015,0,119,80.95,147,YES
Serratia marcescens,2015,1,16,10.88,147,YES
Serratia marcescens,2015,2,10,6.8,147,YES
Serratia marcescens,2015,3,2,1.36,147,YES
Serratia marcescens,2015,4,0,0.0,147,YES
Serratia marcescens,2016,0,153,83.15,184,YES
Serratia marcescens,2016,1,18,9.78,184,YES
Serratia marcescens,2016,2,6,3.26,184,YES
Serratia marcescens,2016,3,4,2.17,184,YES
Serratia marcescens,2016,4,3,1.63,184,YES
Serratia marcescens,2017,0,102,80.95,126,YES
Serratia marcescens,2017,1,16,12.7,126,YES
Serratia marcescens,2017,2,8,6.35,126,YES
Serratia marcescens,2017,3,0,0.0,126,YES
Serratia marcescens,2017,4,0,0.0,126,YES
Serratia marcescens,2018,0,141,84.94,166,YES
Serratia marcescens,2018,1,3,1.81,166,YES
Serratia marcescens,2018,2,6,3.61,166,YES
Serratia marcescens,2018,3,0,0.0,166,YES
Serratia marcescens,2018,4,16,9.64,166,YES
Serratia marcescens,2019,0,148,86.05,172,YES
Serratia marcescens,2019,1,4,2.33,172,YES
Serratia marcescens,2019,2,11,6.4,172,YES
Serratia marcescens,2019,3,0,0.0,172,YES
Serratia marcescens,2019,4,9,5.23,172,YES
Serratia marcescens,2020,0,150,85.71,175,YES
Serratia marcescens,2020,1,2,1.14,175,YES
Serratia marcescens,2020,2,11,6.29,175,YES
Serratia marcescens,2020,3,0,0.0,175,YES
Serratia marcescens,2020,4,12,6.86,175,YES
Serratia marcescens,2021,0,139,87.97,158,YES
Serratia marcescens,2021,1,3,1.9,158,YES
Serratia marcescens,2021,2,7,4.43,158,YES
Serratia marcescens,2021,3,0,0.0,158,YES
Serratia marcescens,2021,4,9,5.7,158,YES
Serratia marcescens,2022,0,107,87.7,122,YES
Serratia marcescens,2022,1,2,1.64,122,YES
Serratia marcescens,2022,2,8,6.56,122,YES
Serratia marcescens,2022,3,0,0.0,122,YES
Serratia marcescens,2022,4,5,4.1,122,YES
Serratia marcescens,2023,0,100,92.59,108,YES
Serratia marcescens,2023,1,0,0.0,108,YES
Serratia marcescens,2023,2,5,4.63,108,YES
Serratia marcescens,2023,3,0,0.0,108,YES
Serratia marcescens,2023,4,3,2.78,108,YES
Serratia marcescens,2024,0,110,93.22,118,YES
Serratia marcescens,2024,1,1,0.85,118,YES
Serratia marcescens,2024,2,5,4.24,118,YES
Serratia marcescens,2024,3,0,0.0,118,YES
Serratia marcescens,2024,4,2,1.69,118,YES
Citrobacter koseri,2006,0,0,0.0,2,NO
Citrobacter koseri,2006,1,2,100.0,2,NO
Citrobacter koseri,2006,2,0,0.0,2,NO
Citrobacter koseri,2006,3,0,0.0,2,NO
Citrobacter koseri,2006,4,0,0.0,2,NO
Citrobacter koseri,2007,0,0,0.0,1,NO
Citrobacter koseri,2007,1,1,100.0,1,NO
Citrobacter koseri,2007,2,0,0.0,1,NO
Citrobacter koseri,2007,3,0,0.0,1,NO
Citrobacter koseri,2007,4,0,0.0,1,NO
Citrobacter koseri,2011,0,2,100.0,2,NO
Citrobacter koseri,2011,1,0,0.0,2,NO
Citrobacter koseri,2011,2,0,0.0,2,NO
Citrobacter koseri,2011,3,0,0.0,2,NO
Citrobacter koseri,2011,4,0,0.0,2,NO
Citrobacter koseri,2012,0,15,100.0,15,YES
Citrobacter koseri,2012,1,0,0.0,15,YES
Citrobacter koseri,2012,2,0,0.0,15,YES
Citrobacter koseri,2012,3,0,0.0,15,YES
Citrobacter koseri,2012,4,0,0.0,15,YES
Citrobacter koseri,2013,0,23,100.0,23,YES
Citrobacter koseri,2013,1,0,0.0,23,YES
Citrobacter koseri,2013,2,0,0.0,23,YES
Citrobacter koseri,2013,3,0,0.0,23,YES
Citrobacter koseri,2013,4,0,0.0,23,YES
Citrobacter koseri,2014,0,14,100.0,14,YES
Citrobacter koseri,2014,1,0,0.0,14,YES
Citrobacter koseri,2014,2,0,0.0,14,YES
Citrobacter koseri,2014,3,0,0.0,14,YES
Citrobacter koseri,2014,4,0,0.0,14,YES
Citrobacter koseri,2015,0,34,100.0,34,YES
Citrobacter koseri,2015,1,0,0.0,34,YES
Citrobacter koseri,2015,2,0,0.0,34,YES
Citrobacter koseri,2015,3,0,0.0,34,YES
Citrobacter koseri,2015,4,0,0.0,34,YES
Citrobacter koseri,2016,0,28,93.33,30,YES
Citrobacter koseri,2016,1,1,3.33,30,YES
Citrobacter koseri,2016,2,1,3.33,30,YES
Citrobacter koseri,2016,3,0,0.0,30,YES
Citrobacter koseri,2016,4,0,0.0,30,YES
Citrobacter koseri,2017,0,23,95.83,24,YES
Citrobacter koseri,2017,1,0,0.0,24,YES
Citrobacter koseri,2017,2,1,4.17,24,YES
Citrobacter koseri,2017,3,0,0.0,24,YES
Citrobacter koseri,2017,4,0,0.0,24,YES
Citrobacter koseri,2018,0,33,94.29,35,YES
Citrobacter koseri,2018,1,1,2.86,35,YES
Citrobacter koseri,2018,2,0,0.0,35,YES
Citrobacter koseri,2018,3,0,0.0,35,YES
Citrobacter koseri,2018,4,1,2.86,35,YES
Citrobacter koseri,2019,0,31,96.88,32,YES
Citrobacter koseri,2019,1,0,0.0,32,YES
Citrobacter koseri,2019,2,1,3.12,32,YES
Citrobacter koseri,2019,3,0,0.0,32,YES
Citrobacter koseri,2019,4,0,0.0,32,YES
Citrobacter koseri,2020,0,45,95.74,47,YES
Citrobacter koseri,2020,1,2,4.26,47,YES
Citrobacter koseri,2020,2,0,0.0,47,YES
Citrobacter koseri,2020,3,0,0.0,47,YES
Citrobacter koseri,2020,4,0,0.0,47,YES
Citrobacter koseri,2021,0,48,96.0,50,YES
Citrobacter koseri,2021,1,2,4.0,50,YES
Citrobacter koseri,2021,2,0,0.0,50,YES
Citrobacter koseri,2021,3,0,0.0,50,YES
Citrobacter koseri,2021,4,0,0.0,50,YES
Citrobacter koseri,2022,0,49,94.23,52,YES
Citrobacter koseri,2022,1,3,5.77,52,YES
Citrobacter koseri,2022,2,0,0.0,52,YES
Citrobacter koseri,2022,3,0,0.0,52,YES
Citrobacter koseri,2022,4,0,0.0,52,YES
Citrobacter koseri,2023,0,52,96.3,54,YES
Citrobacter koseri,2023,1,2,3.7,54,YES
Citrobacter koseri,2023,2,0,0.0,54,YES
Citrobacter koseri,2023,3,0,0.0,54,YES
Citrobacter koseri,2023,4,0,0.0,54,YES
Citrobacter koseri,2024,0,56,94.92,59,YES
Citrobacter koseri,2024,1,0,0.0,59,YES
Citrobacter koseri,2024,2,3,5.08,59,YES
Citrobacter koseri,2024,3,0,0.0,59,YES
Citrobacter koseri,2024,4,0,0.0,59,YES
Streptococcus pneumoniae,2004,0,165,62.26,265,YES
Streptococcus pneumoniae,2004,1,100,37.74,265,YES
Streptococcus pneumoniae,2004,2,0,0.0,265,YES
Streptococcus pneumoniae,2004,3,0,0.0,265,YES
Streptococcus pneumoniae,2004,4,0,0.0,265,YES
Streptococcus pneumoniae,2005,0,196,65.33,300,YES
Streptococcus pneumoniae,2005,1,104,34.67,300,YES
Streptococcus pneumoniae,2005,2,0,0.0,300,YES
Streptococcus pneumoniae,2005,3,0,0.0,300,YES
Streptococcus pneumoniae,2005,4,0,0.0,300,YES
Streptococcus pneumoniae,2006,0,227,63.76,356,YES
Streptococcus pneumoniae,2006,1,129,36.24,356,YES
Streptococcus pneumoniae,2006,2,0,0.0,356,YES
Streptococcus pneumoniae,2006,3,0,0.0,356,YES
Streptococcus pneumoniae,2006,4,0,0.0,356,YES
Streptococcus pneumoniae,2007,0,266,66.33,401,YES
Streptococcus pneumoniae,2007,1,135,33.67,401,YES
Streptococcus pneumoniae,2007,2,0,0.0,401,YES
Streptococcus pneumoniae,2007,3,0,0.0,401,YES
Streptococcus pneumoniae,2007,4,0,0.0,401,YES
Streptococcus pneumoniae,2008,0,248,66.13,375,YES
Streptococcus pneumoniae,2008,1,127,33.87,375,YES
Streptococcus pneumoniae,2008,2,0,0.0,375,YES
Streptococcus pneumoniae,2008,3,0,0.0,375,YES
Streptococcus pneumoniae,2008,4,0,0.0,375,YES
Streptococcus pneumoniae,2009,0,287,65.23,440,YES
Streptococcus pneumoniae,2009,1,153,34.77,440,YES
