Organism,Year,Antibiotic,Antibiotic_Class,Resistant,Susceptible,Intermediate,Total_Tested,Resistance_Rate_%,Sufficient_Data
Staphylococcus aureus,2005,Amikacin,Aminoglycosides,0,0,0,0,,NO
Staphylococcus aureus,2005,Vancomycin,Glycopeptides,0,403,0,403,0.0,YES
Staphylococcus aureus,2005,Colistin,Polymyxins,0,0,0,0,,NO
Staphylococcus aureus,2005,Piperacillin tazobactam,Penicillins,0,0,0,0,,NO
Staphylococcus aureus,2005,Tigecycline,Tetracyclines,0,403,0,403,0.0,YES
Staphylococcus aureus,2005,Trimethoprim sulfa,Trimethoprim,0,0,0,0,,NO
Staphylococcus aureus,2005,Linezolid,Oxazolidinones,0,403,0,403,0.0,YES
Staphylococcus aureus,2006,Ceftriaxone,Cephalosporins,0,0,0,0,,NO
Staphylococcus aureus,2006,Meropenem,Carbapenems,0,0,0,0,,NO
Staphylococcus aureus,2006,Levofloxacin,Fluoroquinolones,201,308,17,526,38.21,YES
Staphylococcus aureus,2006,Amikacin,Aminoglycosides,0,0,0,0,,NO
Staphylococcus aureus,2006,Vancomycin,Glycopeptides,0,526,0,526,0.0,YES
Staphylococcus aureus,2006,Colistin,Polymyxins,0,0,0,0,,NO
Staphylococcus aureus,2006,Piperacillin tazobactam,Penicillins,0,0,0,0,,NO
Staphylococcus aureus,2006,Tigecycline,Tetracyclines,0,523,3,526,0.0,YES
Staphylococcus aureus,2006,Trimethoprim sulfa,Trimethoprim,0,0,0,0,,NO
Staphylococcus aureus,2006,Linezolid,Oxazolidinones,0,526,0,526,0.0,YES
Staphylococcus aureus,2007,Ceftriaxone,Cephalosporins,0,0,0,0,,NO
Staphylococcus aureus,2007,Meropenem,Carbapenems,0,0,0,0,,NO
Staphylococcus aureus,2007,Levofloxacin,Fluoroquinolones,272,415,9,696,39.08,YES
Staphylococcus aureus,2007,Amikacin,Aminoglycosides,0,0,0,0,,NO
Staphylococcus aureus,2007,Vancomycin,Glycopeptides,0,696,0,696,0.0,YES
Staphylococcus aureus,2007,Colistin,Polymyxins,0,0,0,0,,NO
Staphylococcus aureus,2007,Piperacillin tazobactam,Penicillins,0,0,0,0,,NO
Staphylococcus aureus,2007,Tigecycline,Tetracyclines,0,693,3,696,0.0,YES
Staphylococcus aureus,2007,Trimethoprim sulfa,Trimethoprim,0,0,0,0,,NO
Staphylococcus aureus,2007,Linezolid,Oxazolidinones,0,696,0,696,0.0,YES
Staphylococcus aureus,2008,Ceftriaxone,Cephalosporins,0,0,0,0,,NO
Staphylococcus aureus,2008,Meropenem,Carbapenems,0,0,0,0,,NO
Staphylococcus aureus,2008,Levofloxacin,Fluoroquinolones,245,435,5,685,35.77,YES
Staphylococcus aureus,2008,Amikacin,Aminoglycosides,0,0,0,0,,NO
Staphylococcus aureus,2008,Vancomycin,Glycopeptides,0,685,0,685,0.0,YES
Staphylococcus aureus,2008,Colistin,Polymyxins,0,0,0,0,,NO
Staphylococcus aureus,2008,Piperacillin tazobactam,Penicillins,0,0,0,0,,NO
Staphylococcus aureus,2008,Tigecycline,Tetracyclines,0,685,0,685,0.0,YES
Staphylococcus aureus,2008,Trimethoprim sulfa,Trimethoprim,0,0,0,0,,NO
Staphylococcus aureus,2008,Linezolid,Oxazolidinones,0,685,0,685,0.0,YES
Staphylococcus aureus,2009,Ceftriaxone,Cephalosporins,0,0,0,0,,NO
Staphylococcus aureus,2009,Meropenem,Carbapenems,0,0,0,0,,NO
Staphylococcus aureus,2009,Levofloxacin,Fluoroquinolones,283,456,10,749,37.78,YES
Staphylococcus aureus,2009,Amikacin,Aminoglycosides,0,0,0,0,,NO
Staphylococcus aureus,2009,Vancomycin,Glycopeptides,0,749,0,749,0.0,YES
Staphylococcus aureus,2009,Colistin,Polymyxins,0,0,0,0,,NO
Staphylococcus aureus,2009,Piperacillin tazobactam,Penicillins,0,0,0,0,,NO
Staphylococcus aureus,2009,Tigecycline,Tetracyclines,0,747,2,749,0.0,YES
Staphylococcus aureus,2009,Trimethoprim sulfa,Trimethoprim,0,0,0,0,,NO
Staphylococcus aureus,2009,Linezolid,Oxazolidinones,0,749,0,749,0.0,YES
Staphylococcus aureus,2010,Ceftriaxone,Cephalosporins,0,0,0,0,,NO
Staphylococcus aureus,2010,Meropenem,Carbapenems,0,0,0,0,,NO
Staphylococcus aureus,2010,Levofloxacin,Fluoroquinolones,173,331,5,509,33.99,YES
Staphylococcus aureus,2010,Amikacin,Aminoglycosides,0,0,0,0,,NO
Staphylococcus aureus,2010,Vancomycin,Glycopeptides,0,509,0,509,0.0,YES
Staphylococcus aureus,2010,Colistin,Polymyxins,0,0,0,0,,NO
Staphylococcus aureus,2010,Piperacillin tazobactam,Penicillins,0,0,0,0,,NO
Staphylococcus aureus,2010,Tigecycline,Tetracyclines,0,508,1,509,0.0,YES
Staphylococcus aureus,2010,Trimethoprim sulfa,Trimethoprim,0,0,0,0,,NO
Staphylococcus aureus,2010,Linezolid,Oxazolidinones,0,509,0,509,0.0,YES
Staphylococcus aureus,2011,Ceftriaxone,Cephalosporins,0,0,0,0,,NO
Staphylococcus aureus,2011,Meropenem,Carbapenems,0,0,0,0,,NO
Staphylococcus aureus,2011,Levofloxacin,Fluoroquinolones,139,300,6,445,31.24,YES
Staphylococcus aureus,2011,Amikacin,Aminoglycosides,0,0,0,0,,NO
Staphylococcus aureus,2011,Vancomycin,Glycopeptides,0,445,0,445,0.0,YES
Staphylococcus aureus,2011,Colistin,Polymyxins,0,0,0,0,,NO
Staphylococcus aureus,2011,Piperacillin tazobactam,Penicillins,0,0,0,0,,NO
Staphylococcus aureus,2011,Tigecycline,Tetracyclines,0,445,0,445,0.0,YES
Staphylococcus aureus,2011,Trimethoprim sulfa,Trimethoprim,0,0,0,0,,NO
Staphylococcus aureus,2011,Linezolid,Oxazolidinones,0,445,0,445,0.0,YES
Staphylococcus aureus,2012,Ceftriaxone,Cephalosporins,0,0,0,0,,NO
Staphylococcus aureus,2012,Meropenem,Carbapenems,0,0,0,0,,NO
Staphylococcus aureus,2012,Levofloxacin,Fluoroquinolones,124,232,5,361,34.35,YES
Staphylococcus aureus,2012,Amikacin,Aminoglycosides,0,0,0,0,,NO
Staphylococcus aureus,2012,Vancomycin,Glycopeptides,0,361,0,361,0.0,YES
Staphylococcus aureus,2012,Colistin,Polymyxins,0,0,0,0,,NO
Staphylococcus aureus,2012,Piperacillin tazobactam,Penicillins,0,0,0,0,,NO
Staphylococcus aureus,2012,Tigecycline,Tetracyclines,0,361,0,361,0.0,YES
Staphylococcus aureus,2012,Trimethoprim sulfa,Trimethoprim,0,0,0,0,,NO
Staphylococcus aureus,2012,Linezolid,Oxazolidinones,0,361,0,361,0.0,YES
Staphylococcus aureus,2013,Ceftriaxone,Cephalosporins,0,0,0,0,,NO
Staphylococcus aureus,2013,Meropenem,Carbapenems,0,0,0,0,,NO
Staphylococcus aureus,2013,Levofloxacin,Fluoroquinolones,135,284,5,424,31.84,YES
Staphylococcus aureus,2013,Amikacin,Aminoglycosides,0,0,0,0,,NO
Staphylococcus aureus,2013,Vancomycin,Glycopeptides,0,424,0,424,0.0,YES
Staphylococcus aureus,2013,Colistin,Polymyxins,0,0,0,0,,NO
Staphylococcus aureus,2013,Piperacillin tazobactam,Penicillins,0,0,0,0,,NO
Staphylococcus aureus,2013,Tigecycline,Tetracyclines,0,424,0,424,0.0,YES
Staphylococcus aureus,2013,Trimethoprim sulfa,Trimethoprim,0,0,0,0,,NO
Staphylococcus aureus,2013,Linezolid,Oxazolidinones,0,424,0,424,0.0,YES
Staphylococcus aureus,2014,Ceftriaxone,Cephalosporins,0,0,0,0,,NO
Staphylococcus aureus,2014,Meropenem,Carbapenems,0,0,0,0,,NO
Staphylococcus aureus,2014,Levofloxacin,Fluoroquinolones,394,540,9,943,41.78,YES
Staphylococcus aureus,2014,Amikacin,Aminoglycosides,0,0,0,0,,NO
Staphylococcus aureus,2014,Vancomycin,Glycopeptides,0,943,0,943,0.0,YES
Staphylococcus aureus,2014,Colistin,Polymyxins,0,0,0,0,,NO
Staphylococcus aureus,2014,Piperacillin tazobactam,Penicillins,0,0,0,0,,NO
Staphylococcus aureus,2014,Tigecycline,Tetracyclines,0,939,4,943,0.0,YES
Staphylococcus aureus,2014,Trimethoprim sulfa,Trimethoprim,13,508,0,521,2.5,YES
Staphylococcus aureus,2014,Linezolid,Oxazolidinones,0,943,0,943,0.0,YES
Staphylococcus aureus,2015,Ceftriaxone,Cephalosporins,0,0,0,0,,NO
Staphylococcus aureus,2015,Meropenem,Carbapenems,0,0,0,0,,NO
Staphylococcus aureus,2015,Levofloxacin,Fluoroquinolones,407,564,4,975,41.74,YES
Staphylococcus aureus,2015,Amikacin,Aminoglycosides,0,0,0,0,,NO
Staphylococcus aureus,2015,Vancomycin,Glycopeptides,0,975,0,975,0.0,YES
Staphylococcus aureus,2015,Colistin,Polymyxins,0,0,0,0,,NO
Staphylococcus aureus,2015,Piperacillin tazobactam,Penicillins,0,0,0,0,,NO
Staphylococcus aureus,2015,Tigecycline,Tetracyclines,0,974,1,975,0.0,YES
Staphylococcus aureus,2015,Trimethoprim sulfa,Trimethoprim,8,512,0,520,1.54,YES
Staphylococcus aureus,2015,Linezolid,Oxazolidinones,0,975,0,975,0.0,YES
Staphylococcus aureus,2016,Ceftriaxone,Cephalosporins,0,0,0,0,,NO
Staphylococcus aureus,2016,Meropenem,Carbapenems,0,0,0,0,,NO
Staphylococcus aureus,2016,Levofloxacin,Fluoroquinolones,446,627,8,1081,41.26,YES
Staphylococcus aureus,2016,Amikacin,Aminoglycosides,0,0,0,0,,NO
Staphylococcus aureus,2016,Vancomycin,Glycopeptides,0,1081,0,1081,0.0,YES
Staphylococcus aureus,2016,Colistin,Polymyxins,0,0,0,0,,NO
Staphylococcus aureus,2016,Piperacillin tazobactam,Penicillins,0,0,0,0,,NO
Staphylococcus aureus,2016,Tigecycline,Tetracyclines,0,1081,0,1081,0.0,YES
Staphylococcus aureus,2016,Trimethoprim sulfa,Trimethoprim,22,614,0,636,3.46,YES
Staphylococcus aureus,2016,Linezolid,Oxazolidinones,0,1081,0,1081,0.0,YES
Staphylococcus aureus,2017,Ceftriaxone,Cephalosporins,0,0,0,0,,NO
Staphylococcus aureus,2017,Meropenem,Carbapenems,0,0,0,0,,NO
Staphylococcus aureus,2017,Levofloxacin,Fluoroquinolones,308,560,5,873,35.28,YES
Staphylococcus aureus,2017,Amikacin,Aminoglycosides,0,0,0,0,,NO
Staphylococcus aureus,2017,Vancomycin,Glycopeptides,0,873,0,873,0.0,YES
Staphylococcus aureus,2017,Colistin,Polymyxins,0,0,0,0,,NO
Staphylococcus aureus,2017,Piperacillin tazobactam,Penicillins,0,0,0,0,,NO
Staphylococcus aureus,2017,Tigecycline,Tetracyclines,0,871,2,873,0.0,YES
Staphylococcus aureus,2017,Trimethoprim sulfa,Trimethoprim,20,514,0,534,3.75,YES
Staphylococcus aureus,2017,Linezolid,Oxazolidinones,0,873,0,873,0.0,YES
Staphylococcus aureus,2018,Ceftriaxone,Cephalosporins,0,0,0,0,,NO
Staphylococcus aureus,2018,Meropenem,Carbapenems,0,0,0,0,,NO
Staphylococcus aureus,2018,Levofloxacin,Fluoroquinolones,211,709,0,920,22.93,YES
Staphylococcus aureus,2018,Amikacin,Aminoglycosides,0,0,0,0,,NO
Staphylococcus aureus,2018,Vancomycin,Glycopeptides,0,920,0,920,0.0,YES
Staphylococcus aureus,2018,Colistin,Polymyxins,0,0,0,0,,NO
Staphylococcus aureus,2018,Piperacillin tazobactam,Penicillins,0,0,0,0,,NO
Staphylococcus aureus,2018,Tigecycline,Tetracyclines,0,920,0,920,0.0,YES
Staphylococcus aureus,2018,Trimethoprim sulfa,Trimethoprim,13,907,0,920,1.41,YES
Staphylococcus aureus,2018,Linezolid,Oxazolidinones,1,919,0,920,0.11,YES
Staphylococcus aureus,2019,Ceftriaxone,Cephalosporins,0,0,0,0,,NO
Staphylococcus aureus,2019,Meropenem,Carbapenems,0,0,0,0,,NO
Staphylococcus aureus,2019,Levofloxacin,Fluoroquinolones,294,1015,7,1316,22.34,YES
Staphylococcus aureus,2019,Amikacin,Aminoglycosides,0,0,0,0,,NO
Staphylococcus aureus,2019,Vancomycin,Glycopeptides,0,1316,0,1316,0.0,YES
Staphylococcus aureus,2019,Colistin,Polymyxins,0,0,0,0,,NO
Staphylococcus aureus,2019,Piperacillin tazobactam,Penicillins,0,0,0,0,,NO
Staphylococcus aureus,2019,Tigecycline,Tetracyclines,0,1309,7,1316,0.0,YES
Staphylococcus aureus,2019,Trimethoprim sulfa,Trimethoprim,15,1301,0,1316,1.14,YES
Staphylococcus aureus,2019,Linezolid,Oxazolidinones,0,1316,0,1316,0.0,YES
Staphylococcus aureus,2020,Ceftriaxone,Cephalosporins,0,0,0,0,,NO
Staphylococcus aureus,2020,Meropenem,Carbapenems,0,0,0,0,,NO
Staphylococcus aureus,2020,Levofloxacin,Fluoroquinolones,294,1077,4,1375,21.38,YES
Staphylococcus aureus,2020,Amikacin,Aminoglycosides,0,0,0,0,,NO
Staphylococcus aureus,2020,Vancomycin,Glycopeptides,0,1375,0,1375,0.0,YES
Staphylococcus aureus,2020,Colistin,Polymyxins,0,0,0,0,,NO
Staphylococcus aureus,2020,Piperacillin tazobactam,Penicillins,0,0,0,0,,NO
Staphylococcus aureus,2020,Tigecycline,Tetracyclines,0,1372,3,1375,0.0,YES
Staphylococcus aureus,2020,Trimethoprim sulfa,Trimethoprim,32,1343,0,1375,2.33,YES
Staphylococcus aureus,2020,Linezolid,Oxazolidinones,0,1375,0,1375,0.0,YES
Staphylococcus aureus,2021,Ceftriaxone,Cephalosporins,0,0,0,0,,NO
Staphylococcus aureus,2021,Meropenem,Carbapenems,0,0,0,0,,NO
Staphylococcus aureus,2021,Levofloxacin,Fluoroquinolones,359,1234,7,1600,22.44,YES
Staphylococcus aureus,2021,Amikacin,Aminoglycosides,0,0,0,0,,NO
Staphylococcus aureus,2021,Vancomycin,Glycopeptides,0,1600,0,1600,0.0,YES
Staphylococcus aureus,2021,Colistin,Polymyxins,0,0,0,0,,NO
Staphylococcus aureus,2021,Piperacillin tazobactam,Penicillins,0,0,0,0,,NO
Staphylococcus aureus,2021,Tigecycline,Tetracyclines,0,1598,2,1600,0.0,YES
Staphylococcus aureus,2021,Trimethoprim sulfa,Trimethoprim,25,1575,0,1600,1.56,YES
Staphylococcus aureus,2021,Linezolid,Oxazolidinones,0,1600,0,1600,0.0,YES
Staphylococcus aureus,2022,Ceftriaxone,Cephalosporins,0,0,0,0,,NO
Staphylococcus aureus,2022,Meropenem,Carbapenems,0,0,0,0,,NO
Staphylococcus aureus,2022,Levofloxacin,Fluoroquinolones,314,1268,5,1587,19.79,YES
Staphylococcus aureus,2022,Amikacin,Aminoglycosides,0,0,0,0,,NO
Staphylococcus aureus,2022,Vancomycin,Glycopeptides,1,1586,0,1587,0.06,YES
Staphylococcus aureus,2022,Colistin,Polymyxins,0,0,0,0,,NO
Staphylococcus aureus,2022,Piperacillin tazobactam,Penicillins,0,0,0,0,,NO
Staphylococcus aureus,2022,Tigecycline,Tetracyclines,0,1580,7,1587,0.0,YES
Staphylococcus aureus,2022,Trimethoprim sulfa,Trimethoprim,17,1570,0,1587,1.07,YES
Staphylococcus aureus,2022,Linezolid,Oxazolidinones,1,1586,0,1587,0.06,YES
Staphylococcus aureus,2023,Ceftriaxone,Cephalosporins,0,0,0,0,,NO
Staphylococcus aureus,2023,Meropenem,Carbapenems,0,0,0,0,,NO
Staphylococcus aureus,2023,Levofloxacin,Fluoroquinolones,264,986,1,1251,21.1,YES
Staphylococcus aureus,2023,Amikacin,Aminoglycosides,0,0,0,0,,NO
Staphylococcus aureus,2023,Vancomycin,Glycopeptides,0,1251,0,1251,0.0,YES
Staphylococcus aureus,2023,Colistin,Polymyxins,0,0,0,0,,NO
Staphylococcus aureus,2023,Piperacillin tazobactam,Penicillins,0,0,0,0,,NO
Staphylococcus aureus,2023,Tigecycline,Tetracyclines,0,1249,2,1251,0.0,YES
Staphylococcus aureus,2023,Trimethoprim sulfa,Trimethoprim,17,1234,0,1251,1.36,YES
Staphylococcus aureus,2023,Linezolid,Oxazolidinones,0,1251,0,1251,0.0,YES
Staphylococcus aureus,2024,Ceftriaxone,Cephalosporins,0,0,0,0,,NO
Staphylococcus aureus,2024,Meropenem,Carbapenems,0,0,0,0,,NO
Staphylococcus aureus,2024,Levofloxacin,Fluoroquinolones,218,861,4,1083,20.13,YES
Staphylococcus aureus,2024,Amikacin,Aminoglycosides,0,0,0,0,,NO
Staphylococcus aureus,2024,Vancomycin,Glycopeptides,0,1083,0,1083,0.0,YES
Staphylococcus aureus,2024,Colistin,Polymyxins,0,0,0,0,,NO
Staphylococcus aureus,2024,Piperacillin tazobactam,Penicillins,0,0,0,0,,NO
Staphylococcus aureus,2024,Tigecycline,Tetracyclines,0,1083,0,1083,0.0,YES
Staphylococcus aureus,2024,Trimethoprim sulfa,Trimethoprim,6,1077,0,1083,0.55,YES
Staphylococcus aureus,2024,Linezolid,Oxazolidinones,0,1083,0,1083,0.0,YES
Pseudomonas aeruginosa,2004,Ceftriaxone,Cephalosporins,0,0,0,0,,NO
Pseudomonas aeruginosa,2004,Meropenem,Carbapenems,1,0,0,1,,NO
Pseudomonas aeruginosa,2004,Levofloxacin,Fluoroquinolones,64,124,16,204,31.37,YES
Pseudomonas aeruginosa,2004,Amikacin,Aminoglycosides,3,199,2,204,1.47,YES
Pseudomonas aeruginosa,2004,Vancomycin,Glycopeptides,0,0,0,0,,NO
Pseudomonas aeruginosa,2004,Colistin,Polymyxins,0,0,0,0,,NO
Pseudomonas aeruginosa,2004,Piperacillin tazobactam,Penicillins,31,161,12,204,15.2,YES
Pseudomonas aeruginosa,2004,Tigecycline,Tetracyclines,0,0,0,0,,NO
Pseudomonas aeruginosa,2004,Trimethoprim sulfa,Trimethoprim,0,0,0,0,,NO
Pseudomonas aeruginosa,2004,Linezolid,Oxazolidinones,0,0,0,0,,NO
Pseudomonas aeruginosa,2005,Ceftriaxone,Cephalosporins,0,0,0,0,,NO
Pseudomonas aeruginosa,2005,Meropenem,Carbapenems,1,1,0,2,,NO
Pseudomonas aeruginosa,2005,Levofloxacin,Fluoroquinolones,67,129,10,206,32.52,YES
Pseudomonas aeruginosa,2005,Amikacin,Aminoglycosides,10,191,5,206,4.85,YES
Pseudomonas aeruginosa,2005,Vancomycin,Glycopeptides,0,0,0,0,,NO
Pseudomonas aeruginosa,2005,Colistin,Polymyxins,0,0,0,0,,NO
Pseudomonas aeruginosa,2005,Piperacillin tazobactam,Penicillins,28,172,6,206,13.59,YES
Pseudomonas aeruginosa,2005,Tigecycline,Tetracyclines,0,0,0,0,,NO
Pseudomonas aeruginosa,2005,Trimethoprim sulfa,Trimethoprim,0,0,0,0,,NO
Pseudomonas aeruginosa,2005,Linezolid,Oxazolidinones,0,0,0,0,,NO
Pseudomonas aeruginosa,2006,Ceftriaxone,Cephalosporins,0,0,0,0,,NO
Pseudomonas aeruginosa,2006,Meropenem,Carbapenems,11,88,14,113,9.73,YES
Pseudomonas aeruginosa,2006,Levofloxacin,Fluoroquinolones,69,174,23,266,25.94,YES
Pseudomonas aeruginosa,2006,Amikacin,Aminoglycosides,7,249,10,266,2.63,YES
Pseudomonas aeruginosa,2006,Vancomycin,Glycopeptides,0,0,0,0,,NO
Pseudomonas aeruginosa,2006,Colistin,Polymyxins,0,0,0,0,,NO
Pseudomonas aeruginosa,2006,Piperacillin tazobactam,Penicillins,27,218,21,266,10.15,YES
Pseudomonas aeruginosa,2006,Tigecycline,Tetracyclines,0,0,0,0,,NO
Pseudomonas aeruginosa,2006,Trimethoprim sulfa,Trimethoprim,0,0,0,0,,NO
Pseudomonas aeruginosa,2006,Linezolid,Oxazolidinones,0,0,0,0,,NO
Pseudomonas aeruginosa,2007,Ceftriaxone,Cephalosporins,0,0,0,0,,NO
Pseudomonas aeruginosa,2007,Meropenem,Carbapenems,57,287,38,382,14.92,YES
Pseudomonas aeruginosa,2007,Levofloxacin,Fluoroquinolones,130,240,32,402,32.34,YES
Pseudomonas aeruginosa,2007,Amikacin,Aminoglycosides,23,369,10,402,5.72,YES
Pseudomonas aeruginosa,2007,Vancomycin,Glycopeptides,0,0,0,0,,NO
Pseudomonas aeruginosa,2007,Colistin,Polymyxins,0,0,0,0,,NO
Pseudomonas aeruginosa,2007,Piperacillin tazobactam,Penicillins,61,320,21,402,15.17,YES
Pseudomonas aeruginosa,2007,Tigecycline,Tetracyclines,0,0,0,0,,NO
Pseudomonas aeruginosa,2007,Trimethoprim sulfa,Trimethoprim,0,0,0,0,,NO
Pseudomonas aeruginosa,2007,Linezolid,Oxazolidinones,0,0,0,0,,NO
Pseudomonas aeruginosa,2008,Ceftriaxone,Cephalosporins,0,0,0,0,,NO
Pseudomonas aeruginosa,2008,Meropenem,Carbapenems,78,290,24,392,19.9,YES
Pseudomonas aeruginosa,2008,Levofloxacin,Fluoroquinolones,133,226,33,392,33.93,YES
Pseudomonas aeruginosa,2008,Amikacin,Aminoglycosides,32,340,20,392,8.16,YES
Pseudomonas aeruginosa,2008,Vancomycin,Glycopeptides,0,0,0,0,,NO
Pseudomonas aeruginosa,2008,Colistin,Polymyxins,0,0,0,0,,NO
Pseudomonas aeruginosa,2008,Piperacillin tazobactam,Penicillins,89,269,34,392,22.7,YES
Pseudomonas aeruginosa,2008,Tigecycline,Tetracyclines,0,0,0,0,,NO
Pseudomonas aeruginosa,2008,Trimethoprim sulfa,Trimethoprim,0,0,0,0,,NO
Pseudomonas aeruginosa,2008,Linezolid,Oxazolidinones,0,0,0,0,,NO
Pseudomonas aeruginosa,2009,Ceftriaxone,Cephalosporins,0,0,0,0,,NO
Pseudomonas aeruginosa,2009,Meropenem,Carbapenems,100,337,34,471,21.23,YES
Pseudomonas aeruginosa,2009,Levofloxacin,Fluoroquinolones,172,268,31,471,36.52,YES
Pseudomonas aeruginosa,2009,Amikacin,Aminoglycosides,48,407,16,471,10.19,YES
Pseudomonas aeruginosa,2009,Vancomycin,Glycopeptides,0,0,0,0,,NO
Pseudomonas aeruginosa,2009,Colistin,Polymyxins,0,0,0,0,,NO
Pseudomonas aeruginosa,2009,Piperacillin tazobactam,Penicillins,127,308,36,471,26.96,YES
Pseudomonas aeruginosa,2009,Tigecycline,Tetracyclines,0,0,0,0,,NO
Pseudomonas aeruginosa,2009,Trimethoprim sulfa,Trimethoprim,0,0,0,0,,NO
Pseudomonas aeruginosa,2009,Linezolid,Oxazolidinones,0,0,0,0,,NO
Pseudomonas aeruginosa,2010,Ceftriaxone,Cephalosporins,0,0,0,0,,NO
Pseudomonas aeruginosa,2010,Meropenem,Carbapenems,50,230,22,302,16.56,YES
Pseudomonas aeruginosa,2010,Levofloxacin,Fluoroquinolones,77,192,33,302,25.5,YES
Pseudomonas aeruginosa,2010,Amikacin,Aminoglycosides,11,286,5,302,3.64,YES
Pseudomonas aeruginosa,2010,Vancomycin,Glycopeptides,0,0,0,0,,NO
Pseudomonas aeruginosa,2010,Colistin,Polymyxins,0,0,0,0,,NO
Pseudomonas aeruginosa,2010,Piperacillin tazobactam,Penicillins,71,207,24,302,23.51,YES
Pseudomonas aeruginosa,2010,Tigecycline,Tetracyclines,0,0,0,0,,NO
Pseudomonas aeruginosa,2010,Trimethoprim sulfa,Trimethoprim,0,0,0,0,,NO
Pseudomonas aeruginosa,2010,Linezolid,Oxazolidinones,0,0,0,0,,NO
Pseudomonas aeruginosa,2011,Ceftriaxone,Cephalosporins,0,0,0,0,,NO
Pseudomonas aeruginosa,2011,Meropenem,Carbapenems,46,198,20,264,17.42,YES
Pseudomonas aeruginosa,2011,Levofloxacin,Fluoroquinolones,72,166,26,264,27.27,YES
Pseudomonas aeruginosa,2011,Amikacin,Aminoglycosides,10,249,5,264,3.79,YES
Pseudomonas aeruginosa,2011,Vancomycin,Glycopeptides,0,0,0,0,,NO
Pseudomonas aeruginosa,2011,Colistin,Polymyxins,0,0,0,0,,NO
Pseudomonas aeruginosa,2011,Piperacillin tazobactam,Penicillins,31,217,16,264,11.74,YES
Pseudomonas aeruginosa,2011,Tigecycline,Tetracyclines,0,0,0,0,,NO
Pseudomonas aeruginosa,2011,Trimethoprim sulfa,Trimethoprim,0,0,0,0,,NO
Pseudomonas aeruginosa,2011,Linezolid,Oxazolidinones,0,0,0,0,,NO
Pseudomonas aeruginosa,2012,Ceftriaxone,Cephalosporins,0,0,0,0,,NO
Pseudomonas aeruginosa,2012,Meropenem,Carbapenems,43,151,12,206,20.87,YES
Pseudomonas aeruginosa,2012,Levofloxacin,Fluoroquinolones,44,145,17,206,21.36,YES
Pseudomonas aeruginosa,2012,Amikacin,Aminoglycosides,5,194,7,206,2.43,YES
Pseudomonas aeruginosa,2012,Vancomycin,Glycopeptides,0,0,0,0,,NO
Pseudomonas aeruginosa,2012,Colistin,Polymyxins,0,0,0,0,,NO
Pseudomonas aeruginosa,2012,Piperacillin tazobactam,Penicillins,25,170,11,206,12.14,YES
Pseudomonas aeruginosa,2012,Tigecycline,Tetracyclines,0,0,0,0,,NO
Pseudomonas aeruginosa,2012,Trimethoprim sulfa,Trimethoprim,0,0,0,0,,NO
Pseudomonas aeruginosa,2012,Linezolid,Oxazolidinones,0,0,0,0,,NO
Pseudomonas aeruginosa,2013,Ceftriaxone,Cephalosporins,0,0,0,0,,NO
Pseudomonas aeruginosa,2013,Meropenem,Carbapenems,44,181,15,240,18.33,YES
Pseudomonas aeruginosa,2013,Levofloxacin,Fluoroquinolones,53,167,20,240,22.08,YES
Pseudomonas aeruginosa,2013,Amikacin,Aminoglycosides,3,231,6,240,1.25,YES
Pseudomonas aeruginosa,2013,Vancomycin,Glycopeptides,0,0,0,0,,NO
Pseudomonas aeruginosa,2013,Colistin,Polymyxins,0,0,0,0,,NO
Pseudomonas aeruginosa,2013,Piperacillin tazobactam,Penicillins,31,203,6,240,12.92,YES
Pseudomonas aeruginosa,2013,Tigecycline,Tetracyclines,0,0,0,0,,NO
Pseudomonas aeruginosa,2013,Trimethoprim sulfa,Trimethoprim,0,0,0,0,,NO
Pseudomonas aeruginosa,2013,Linezolid,Oxazolidinones,0,0,0,0,,NO
Pseudomonas aeruginosa,2014,Ceftriaxone,Cephalosporins,0,0,0,0,,NO
Pseudomonas aeruginosa,2014,Meropenem,Carbapenems,58,263,20,341,17.01,YES
Pseudomonas aeruginosa,2014,Levofloxacin,Fluoroquinolones,72,238,31,341,21.11,YES
Pseudomonas aeruginosa,2014,Amikacin,Aminoglycosides,9,328,4,341,2.64,YES
Pseudomonas aeruginosa,2014,Vancomycin,Glycopeptides,0,0,0,0,,NO
Pseudomonas aeruginosa,2014,Colistin,Polymyxins,11,0,102,113,9.73,YES
Pseudomonas aeruginosa,2014,Piperacillin tazobactam,Penicillins,40,266,35,341,11.73,YES
Pseudomonas aeruginosa,2014,Tigecycline,Tetracyclines,0,0,0,0,,NO
Pseudomonas aeruginosa,2014,Trimethoprim sulfa,Trimethoprim,0,0,0,0,,NO
Pseudomonas aeruginosa,2014,Linezolid,Oxazolidinones,0,0,0,0,,NO
Pseudomonas aeruginosa,2015,Ceftriaxone,Cephalosporins,0,0,0,0,,NO
Pseudomonas aeruginosa,2015,Meropenem,Carbapenems,100,283,27,410,24.39,YES
Pseudomonas aeruginosa,2015,Levofloxacin,Fluoroquinolones,102,274,34,410,24.88,YES
Pseudomonas aeruginosa,2015,Amikacin,Aminoglycosides,20,378,12,410,4.88,YES
Pseudomonas aeruginosa,2015,Vancomycin,Glycopeptides,0,0,0,0,,NO
Pseudomonas aeruginosa,2015,Colistin,Polymyxins,0,0,141,141,0.0,YES
