Organism,Country,Year,Total_N,MDR_Count,MDR_Rate_%,Sufficient
Enterococcus faecium,Australia,2007,2,0,,False
Enterococcus faecium,Australia,2008,1,0,,False
Enterococcus faecium,Australia,2009,3,3,,False
Enterococcus faecium,Australia,2010,5,3,,False
Enterococcus faecium,Australia,2014,2,2,,False
Enterococcus faecium,Australia,2018,3,3,,False
Enterococcus faecium,Australia,2019,4,4,,False
Enterococcus faecium,Australia,2020,2,2,,False
Enterococcus faecium,Australia,2021,2,2,,False
Enterococcus faecium,Australia,2022,1,1,,False
Enterococcus faecium,Australia,2023,4,4,,False
Enterococcus faecium,Australia,2024,3,3,,False
Enterococcus faecium,Austria,2004,1,0,,False
Enterococcus faecium,Austria,2006,2,0,,False
Enterococcus faecium,Austria,2009,3,0,,False
Enterococcus faecium,Austria,2024,1,1,,False
Enterococcus faecium,Belgium,2004,2,1,,False
Enterococcus faecium,Belgium,2007,1,0,,False
Enterococcus faecium,Belgium,2008,4,1,,False
Enterococcus faecium,Belgium,2010,2,0,,False
Enterococcus faecium,Belgium,2011,1,1,,False
Enterococcus faecium,Belgium,2012,5,1,,False
Enterococcus faecium,Belgium,2013,3,1,,False
Enterococcus faecium,Belgium,2014,15,8,53.33,True
Enterococcus faecium,Belgium,2015,3,0,,False
Enterococcus faecium,Belgium,2016,3,1,,False
Enterococcus faecium,Belgium,2017,3,0,,False
Enterococcus faecium,Belgium,2018,6,5,,False
Enterococcus faecium,Belgium,2019,7,7,,False
Enterococcus faecium,Belgium,2020,16,16,100.0,True
Enterococcus faecium,Belgium,2021,10,8,80.0,True
Enterococcus faecium,Belgium,2022,16,12,75.0,True
Enterococcus faecium,Belgium,2023,9,9,,False
Enterococcus faecium,Belgium,2024,9,8,,False
Enterococcus faecium,Brazil,2006,2,1,,False
Enterococcus faecium,Brazil,2008,4,4,,False
Enterococcus faecium,Brazil,2009,6,4,,False
Enterococcus faecium,Brazil,2014,1,1,,False
Enterococcus faecium,Brazil,2015,5,4,,False
Enterococcus faecium,Brazil,2016,1,1,,False
Enterococcus faecium,Brazil,2017,2,2,,False
Enterococcus faecium,Brazil,2018,4,4,,False
Enterococcus faecium,Brazil,2019,5,3,,False
Enterococcus faecium,Brazil,2020,1,0,,False
Enterococcus faecium,Brazil,2021,10,9,90.0,True
Enterococcus faecium,Brazil,2022,4,4,,False
Enterococcus faecium,Brazil,2023,5,4,,False
Enterococcus faecium,Brazil,2024,7,6,,False
Enterococcus faecium,Bulgaria,2010,1,0,,False
Enterococcus faecium,Bulgaria,2011,1,0,,False
Enterococcus faecium,Bulgaria,2022,2,2,,False
Enterococcus faecium,Bulgaria,2023,1,1,,False
Enterococcus faecium,Bulgaria,2024,1,1,,False
Enterococcus faecium,Canada,2004,3,2,,False
Enterococcus faecium,Canada,2005,2,1,,False
Enterococcus faecium,Canada,2006,5,0,,False
Enterococcus faecium,Canada,2007,7,1,,False
Enterococcus faecium,Canada,2008,2,0,,False
Enterococcus faecium,Canada,2009,7,1,,False
Enterococcus faecium,Canada,2010,11,2,18.18,True
Enterococcus faecium,Canada,2012,4,2,,False
Enterococcus faecium,Canada,2013,7,5,,False
Enterococcus faecium,Canada,2014,11,3,27.27,True
Enterococcus faecium,Canada,2015,7,4,,False
Enterococcus faecium,Canada,2016,10,5,50.0,True
Enterococcus faecium,Canada,2017,2,2,,False
Enterococcus faecium,Canada,2018,8,7,,False
Enterococcus faecium,Canada,2019,6,5,,False
Enterococcus faecium,Canada,2020,10,9,90.0,True
Enterococcus faecium,Canada,2021,11,8,72.73,True
Enterococcus faecium,Canada,2022,13,12,92.31,True
Enterococcus faecium,Canada,2023,13,11,84.62,True
Enterococcus faecium,Canada,2024,15,12,80.0,True
Enterococcus faecium,Chile,2005,1,0,,False
Enterococcus faecium,Chile,2006,1,0,,False
Enterococcus faecium,Chile,2007,2,2,,False
Enterococcus faecium,Chile,2008,3,3,,False
Enterococcus faecium,Chile,2009,4,3,,False
Enterococcus faecium,Chile,2013,2,1,,False
Enterococcus faecium,Chile,2014,5,3,,False
Enterococcus faecium,Chile,2015,3,0,,False
Enterococcus faecium,Chile,2016,4,4,,False
Enterococcus faecium,Chile,2017,1,1,,False
Enterococcus faecium,Chile,2018,1,1,,False
Enterococcus faecium,Chile,2019,3,3,,False
Enterococcus faecium,Chile,2020,3,2,,False
Enterococcus faecium,Chile,2021,1,1,,False
Enterococcus faecium,Chile,2022,3,3,,False
Enterococcus faecium,Chile,2023,1,1,,False
Enterococcus faecium,Chile,2024,4,3,,False
Enterococcus faecium,China,2009,5,4,,False
Enterococcus faecium,China,2010,1,1,,False
Enterococcus faecium,China,2015,6,2,,False
Enterococcus faecium,China,2016,11,3,27.27,True
Enterococcus faecium,China,2018,14,12,85.71,True
Enterococcus faecium,China,2019,26,25,96.15,True
Enterococcus faecium,China,2021,2,2,,False
Enterococcus faecium,China,2022,16,15,93.75,True
Enterococcus faecium,China,2023,15,12,80.0,True
Enterococcus faecium,China,2024,17,16,94.12,True
Enterococcus faecium,Colombia,2006,2,0,,False
Enterococcus faecium,Colombia,2008,5,3,,False
Enterococcus faecium,Colombia,2009,1,1,,False
Enterococcus faecium,Colombia,2015,1,1,,False
Enterococcus faecium,Colombia,2017,1,1,,False
Enterococcus faecium,Colombia,2018,1,0,,False
Enterococcus faecium,Colombia,2019,7,4,,False
Enterococcus faecium,Colombia,2020,1,0,,False
Enterococcus faecium,Colombia,2021,3,3,,False
Enterococcus faecium,Colombia,2022,3,3,,False
Enterococcus faecium,Colombia,2024,1,1,,False
Enterococcus faecium,Costa Rica,2020,1,0,,False
Enterococcus faecium,Costa Rica,2021,2,0,,False
Enterococcus faecium,Costa Rica,2023,1,0,,False
Enterococcus faecium,Croatia,2007,2,0,,False
Enterococcus faecium,Croatia,2008,2,2,,False
Enterococcus faecium,Croatia,2009,9,2,,False
Enterococcus faecium,Croatia,2010,7,0,,False
Enterococcus faecium,Croatia,2014,1,0,,False
Enterococcus faecium,Croatia,2015,2,0,,False
Enterococcus faecium,Croatia,2016,2,1,,False
Enterococcus faecium,Croatia,2017,1,1,,False
Enterococcus faecium,Croatia,2018,4,4,,False
Enterococcus faecium,Croatia,2019,8,7,,False
Enterococcus faecium,Croatia,2020,12,12,100.0,True
Enterococcus faecium,Croatia,2021,2,2,,False
Enterococcus faecium,Croatia,2022,15,13,86.67,True
Enterococcus faecium,Croatia,2023,6,6,,False
Enterococcus faecium,Croatia,2024,7,6,,False
Enterococcus faecium,Czech Republic,2007,1,0,,False
Enterococcus faecium,Czech Republic,2008,1,0,,False
Enterococcus faecium,Czech Republic,2014,1,1,,False
Enterococcus faecium,Czech Republic,2017,3,1,,False
Enterococcus faecium,Czech Republic,2018,5,5,,False
Enterococcus faecium,Czech Republic,2019,1,1,,False
Enterococcus faecium,Czech Republic,2020,6,6,,False
Enterococcus faecium,Czech Republic,2021,2,2,,False
Enterococcus faecium,Czech Republic,2022,3,2,,False
Enterococcus faecium,Czech Republic,2023,6,6,,False
Enterococcus faecium,Czech Republic,2024,4,4,,False
Enterococcus faecium,Denmark,2006,3,0,,False
Enterococcus faecium,Denmark,2007,8,2,,False
Enterococcus faecium,Denmark,2008,2,2,,False
Enterococcus faecium,Denmark,2010,4,0,,False
Enterococcus faecium,Denmark,2011,4,0,,False
Enterococcus faecium,Denmark,2018,1,1,,False
Enterococcus faecium,Denmark,2020,4,4,,False
Enterococcus faecium,Denmark,2021,5,4,,False
Enterococcus faecium,Denmark,2022,3,3,,False
Enterococcus faecium,Denmark,2023,2,2,,False
Enterococcus faecium,Denmark,2024,3,3,,False
Enterococcus faecium,Dominican Republic,2020,1,1,,False
Enterococcus faecium,Dominican Republic,2021,1,1,,False
Enterococcus faecium,Finland,2013,1,0,,False
Enterococcus faecium,Finland,2014,3,0,,False
Enterococcus faecium,France,2005,1,0,,False
Enterococcus faecium,France,2006,4,0,,False
Enterococcus faecium,France,2007,10,3,30.0,True
Enterococcus faecium,France,2008,11,2,18.18,True
Enterococcus faecium,France,2009,9,2,,False
Enterococcus faecium,France,2010,12,3,25.0,True
Enterococcus faecium,France,2011,11,2,18.18,True
Enterococcus faecium,France,2012,8,2,,False
Enterococcus faecium,France,2013,14,1,7.14,True
Enterococcus faecium,France,2014,15,4,26.67,True
Enterococcus faecium,France,2015,8,4,,False
Enterococcus faecium,France,2016,13,1,7.69,True
Enterococcus faecium,France,2017,6,0,,False
Enterococcus faecium,France,2018,11,9,81.82,True
Enterococcus faecium,France,2019,11,10,90.91,True
Enterococcus faecium,France,2020,7,6,,False
Enterococcus faecium,France,2021,12,12,100.0,True
Enterococcus faecium,France,2022,21,17,80.95,True
Enterococcus faecium,France,2023,9,8,,False
Enterococcus faecium,France,2024,9,9,,False
Enterococcus faecium,Germany,2005,3,0,,False
Enterococcus faecium,Germany,2006,11,1,9.09,True
Enterococcus faecium,Germany,2008,8,2,,False
Enterococcus faecium,Germany,2009,19,6,31.58,True
Enterococcus faecium,Germany,2010,9,3,,False
Enterococcus faecium,Germany,2011,10,1,10.0,True
Enterococcus faecium,Germany,2012,1,0,,False
Enterococcus faecium,Germany,2013,7,2,,False
Enterococcus faecium,Germany,2014,21,9,42.86,True
Enterococcus faecium,Germany,2015,6,3,,False
Enterococcus faecium,Germany,2016,8,0,,False
Enterococcus faecium,Germany,2017,10,6,60.0,True
Enterococcus faecium,Germany,2018,3,3,,False
Enterococcus faecium,Germany,2019,3,2,,False
Enterococcus faecium,Germany,2020,4,4,,False
Enterococcus faecium,Germany,2021,8,8,,False
Enterococcus faecium,Germany,2022,13,12,92.31,True
Enterococcus faecium,Germany,2023,10,10,100.0,True
Enterococcus faecium,Germany,2024,12,11,91.67,True
Enterococcus faecium,Greece,2005,1,1,,False
Enterococcus faecium,Greece,2006,2,2,,False
Enterococcus faecium,Greece,2007,2,1,,False
Enterococcus faecium,Greece,2008,2,0,,False
Enterococcus faecium,Greece,2009,6,4,,False
Enterococcus faecium,Greece,2010,4,2,,False
Enterococcus faecium,Greece,2014,2,2,,False
Enterococcus faecium,Greece,2015,2,0,,False
Enterococcus faecium,Greece,2016,3,0,,False
Enterococcus faecium,Greece,2017,1,1,,False
Enterococcus faecium,Greece,2018,4,3,,False
Enterococcus faecium,Greece,2019,1,1,,False
Enterococcus faecium,Greece,2020,5,5,,False
Enterococcus faecium,Greece,2021,1,1,,False
Enterococcus faecium,Greece,2023,1,1,,False
Enterococcus faecium,Greece,2024,1,1,,False
Enterococcus faecium,Guatemala,2020,1,1,,False
Enterococcus faecium,Guatemala,2022,3,3,,False
Enterococcus faecium,Guatemala,2024,1,1,,False
Enterococcus faecium,Hong Kong,2006,1,0,,False
Enterococcus faecium,Hong Kong,2007,1,0,,False
Enterococcus faecium,Hong Kong,2010,1,1,,False
Enterococcus faecium,Hong Kong,2014,5,5,,False
Enterococcus faecium,Hong Kong,2015,3,2,,False
Enterococcus faecium,Hong Kong,2016,6,2,,False
Enterococcus faecium,Hong Kong,2017,3,3,,False
Enterococcus faecium,Hungary,2007,2,0,,False
Enterococcus faecium,Hungary,2008,1,1,,False
Enterococcus faecium,Hungary,2009,1,0,,False
Enterococcus faecium,Hungary,2014,6,5,,False
Enterococcus faecium,Hungary,2019,2,2,,False
Enterococcus faecium,Hungary,2020,8,7,,False
Enterococcus faecium,Hungary,2021,5,5,,False
Enterococcus faecium,Hungary,2022,4,4,,False
Enterococcus faecium,Hungary,2023,6,6,,False
Enterococcus faecium,Hungary,2024,12,11,91.67,True
Enterococcus faecium,India,2006,3,2,,False
Enterococcus faecium,India,2007,1,1,,False
Enterococcus faecium,India,2015,2,0,,False
Enterococcus faecium,India,2019,3,3,,False
Enterococcus faecium,India,2020,9,9,,False
Enterococcus faecium,India,2021,13,12,92.31,True
Enterococcus faecium,India,2022,5,5,,False
Enterococcus faecium,India,2023,7,7,,False
Enterococcus faecium,India,2024,8,8,,False
Enterococcus faecium,Ireland,2005,3,0,,False
Enterococcus faecium,Ireland,2006,1,0,,False
Enterococcus faecium,Ireland,2007,3,2,,False
Enterococcus faecium,Ireland,2008,14,11,78.57,True
Enterococcus faecium,Ireland,2009,8,5,,False
Enterococcus faecium,Ireland,2010,6,6,,False
Enterococcus faecium,Ireland,2011,11,7,63.64,True
Enterococcus faecium,Ireland,2012,19,13,68.42,True
Enterococcus faecium,Ireland,2013,10,5,50.0,True
Enterococcus faecium,Ireland,2014,1,1,,False
Enterococcus faecium,Ireland,2015,6,5,,False
Enterococcus faecium,Ireland,2016,4,3,,False
Enterococcus faecium,Ireland,2018,5,5,,False
Enterococcus faecium,Ireland,2020,1,1,,False
Enterococcus faecium,Ireland,2021,1,1,,False
Enterococcus faecium,Ireland,2022,2,1,,False
Enterococcus faecium,Ireland,2023,1,1,,False
Enterococcus faecium,Ireland,2024,2,2,,False
Enterococcus faecium,Israel,2006,3,2,,False
Enterococcus faecium,Israel,2008,5,1,,False
Enterococcus faecium,Israel,2009,9,5,,False
Enterococcus faecium,Israel,2010,13,8,61.54,True
Enterococcus faecium,Israel,2014,6,6,,False
Enterococcus faecium,Israel,2018,5,5,,False
Enterococcus faecium,Israel,2019,4,3,,False
Enterococcus faecium,Israel,2020,1,0,,False
Enterococcus faecium,Israel,2021,6,6,,False
Enterococcus faecium,Israel,2022,3,3,,False
Enterococcus faecium,Israel,2023,4,4,,False
Enterococcus faecium,Israel,2024,3,3,,False
Enterococcus faecium,Italy,2004,2,0,,False
Enterococcus faecium,Italy,2005,6,2,,False
Enterococcus faecium,Italy,2006,9,5,,False
Enterococcus faecium,Italy,2007,9,1,,False
Enterococcus faecium,Italy,2008,25,6,24.0,True
Enterococcus faecium,Italy,2009,13,6,46.15,True
Enterococcus faecium,Italy,2010,12,4,33.33,True
Enterococcus faecium,Italy,2011,4,1,,False
Enterococcus faecium,Italy,2012,12,2,16.67,True
Enterococcus faecium,Italy,2013,19,6,31.58,True
Enterococcus faecium,Italy,2014,19,9,47.37,True
Enterococcus faecium,Italy,2015,11,2,18.18,True
Enterococcus faecium,Italy,2016,13,3,23.08,True
Enterococcus faecium,Italy,2017,7,3,,False
Enterococcus faecium,Italy,2018,14,14,100.0,True
Enterococcus faecium,Italy,2019,8,8,,False
Enterococcus faecium,Italy,2020,11,11,100.0,True
Enterococcus faecium,Italy,2021,21,20,95.24,True
Enterococcus faecium,Italy,2022,20,18,90.0,True
Enterococcus faecium,Italy,2023,16,15,93.75,True
Enterococcus faecium,Italy,2024,13,13,100.0,True
Enterococcus faecium,Ivory Coast,2021,1,0,,False
Enterococcus faecium,Ivory Coast,2024,1,0,,False
Enterococcus faecium,Japan,2014,4,4,,False
Enterococcus faecium,Japan,2016,5,4,,False
Enterococcus faecium,Japan,2018,4,4,,False
Enterococcus faecium,Japan,2019,7,6,,False
Enterococcus faecium,Japan,2020,6,4,,False
Enterococcus faecium,Japan,2021,5,5,,False
Enterococcus faecium,Japan,2022,5,5,,False
Enterococcus faecium,Japan,2023,2,2,,False
Enterococcus faecium,Japan,2024,2,2,,False
Enterococcus faecium,Jordan,2011,1,0,,False
Enterococcus faecium,Jordan,2015,1,1,,False
Enterococcus faecium,Jordan,2016,1,1,,False
Enterococcus faecium,Jordan,2021,1,0,,False
Enterococcus faecium,Jordan,2024,2,2,,False
Enterococcus faecium,Kenya,2014,1,1,,False
Enterococcus faecium,"Korea, South",2005,1,1,,False
Enterococcus faecium,"Korea, South",2006,3,1,,False
Enterococcus faecium,"Korea, South",2007,6,0,,False
Enterococcus faecium,"Korea, South",2008,7,4,,False
Enterococcus faecium,"Korea, South",2009,13,5,38.46,True
Enterococcus faecium,"Korea, South",2010,4,2,,False
Enterococcus faecium,"Korea, South",2014,4,3,,False
Enterococcus faecium,"Korea, South",2018,1,1,,False
Enterococcus faecium,"Korea, South",2019,10,8,80.0,True
Enterococcus faecium,"Korea, South",2020,4,4,,False
Enterococcus faecium,"Korea, South",2021,15,14,93.33,True
Enterococcus faecium,"Korea, South",2022,9,9,,False
Enterococcus faecium,"Korea, South",2023,5,5,,False
Enterococcus faecium,"Korea, South",2024,10,9,90.0,True
Enterococcus faecium,Kuwait,2012,1,1,,False
Enterococcus faecium,Kuwait,2014,2,1,,False
Enterococcus faecium,Kuwait,2015,1,1,,False
Enterococcus faecium,Kuwait,2018,7,7,,False
Enterococcus faecium,Kuwait,2019,3,3,,False
Enterococcus faecium,Kuwait,2020,2,2,,False
Enterococcus faecium,Kuwait,2021,3,2,,False
Enterococcus faecium,Kuwait,2022,2,1,,False
Enterococcus faecium,Kuwait,2023,1,1,,False
Enterococcus faecium,Kuwait,2024,2,2,,False
Enterococcus faecium,Latvia,2008,2,1,,False
Enterococcus faecium,Latvia,2010,2,0,,False
Enterococcus faecium,Latvia,2018,1,1,,False
Enterococcus faecium,Latvia,2019,1,1,,False
Enterococcus faecium,Latvia,2021,3,3,,False
Enterococcus faecium,Latvia,2022,9,9,,False
Enterococcus faecium,Lithuania,2008,1,0,,False
Enterococcus faecium,Lithuania,2010,3,1,,False
Enterococcus faecium,Lithuania,2018,2,2,,False
Enterococcus faecium,Lithuania,2020,2,2,,False
Enterococcus faecium,Lithuania,2021,7,7,,False
Enterococcus faecium,Lithuania,2022,4,1,,False
Enterococcus faecium,Lithuania,2023,3,2,,False
Enterococcus faecium,Lithuania,2024,4,4,,False
Enterococcus faecium,Malaysia,2009,3,0,,False
Enterococcus faecium,Malaysia,2010,1,0,,False
Enterococcus faecium,Malaysia,2016,2,2,,False
Enterococcus faecium,Malaysia,2018,2,2,,False
Enterococcus faecium,Malaysia,2019,3,2,,False
Enterococcus faecium,Malaysia,2021,5,5,,False
Enterococcus faecium,Malaysia,2022,4,4,,False
Enterococcus faecium,Malaysia,2023,1,0,,False
Enterococcus faecium,Malaysia,2024,1,1,,False
Enterococcus faecium,Mexico,2006,1,1,,False
Enterococcus faecium,Mexico,2008,8,5,,False
Enterococcus faecium,Mexico,2009,6,1,,False
Enterococcus faecium,Mexico,2010,3,2,,False
Enterococcus faecium,Mexico,2013,3,2,,False
Enterococcus faecium,Mexico,2014,1,1,,False
Enterococcus faecium,Mexico,2016,1,1,,False
Enterococcus faecium,Mexico,2017,1,0,,False
Enterococcus faecium,Mexico,2018,5,3,,False
Enterococcus faecium,Mexico,2019,4,4,,False
Enterococcus faecium,Mexico,2020,7,6,,False
Enterococcus faecium,Mexico,2021,9,9,,False
Enterococcus faecium,Mexico,2023,2,1,,False
Enterococcus faecium,Mexico,2024,1,1,,False
Enterococcus faecium,Morocco,2012,4,1,,False
Enterococcus faecium,Morocco,2018,3,3,,False
Enterococcus faecium,Morocco,2019,6,4,,False
Enterococcus faecium,Morocco,2020,2,1,,False
Enterococcus faecium,Morocco,2022,4,3,,False
Enterococcus faecium,Morocco,2023,1,1,,False
Enterococcus faecium,Morocco,2024,3,3,,False
Enterococcus faecium,Netherlands,2008,1,1,,False
Enterococcus faecium,Netherlands,2012,1,0,,False
Enterococcus faecium,Netherlands,2013,1,0,,False
Enterococcus faecium,Netherlands,2014,5,2,,False
Enterococcus faecium,Netherlands,2015,3,1,,False
Enterococcus faecium,Netherlands,2017,3,0,,False
Enterococcus faecium,Netherlands,2018,1,1,,False
Enterococcus faecium,Netherlands,2019,2,2,,False
Enterococcus faecium,Netherlands,2020,4,4,,False
Enterococcus faecium,Netherlands,2023,2,2,,False
Enterococcus faecium,New Zealand,2020,3,2,,False
Enterococcus faecium,New Zealand,2021,1,1,,False
Enterococcus faecium,New Zealand,2022,2,2,,False
Enterococcus faecium,New Zealand,2023,2,1,,False
Enterococcus faecium,New Zealand,2024,3,3,,False
Enterococcus faecium,Nigeria,2014,1,1,,False
Enterococcus faecium,Nigeria,2021,4,4,,False
Enterococcus faecium,Pakistan,2004,1,1,,False
Enterococcus faecium,Pakistan,2005,1,0,,False
Enterococcus faecium,Pakistan,2006,3,3,,False
Enterococcus faecium,Pakistan,2016,2,2,,False
Enterococcus faecium,Panama,2017,1,0,,False
Enterococcus faecium,Panama,2019,2,2,,False
Enterococcus faecium,Panama,2022,2,2,,False
Enterococcus faecium,Panama,2023,3,1,,False
Enterococcus faecium,Panama,2024,3,2,,False
Enterococcus faecium,Philippines,2014,2,2,,False
Enterococcus faecium,Philippines,2015,1,0,,False
Enterococcus faecium,Philippines,2019,3,3,,False
Enterococcus faecium,Poland,2004,1,0,,False
Enterococcus faecium,Poland,2008,1,1,,False
Enterococcus faecium,Poland,2009,8,1,,False
Enterococcus faecium,Poland,2010,1,0,,False
Enterococcus faecium,Poland,2013,2,1,,False
Enterococcus faecium,Poland,2014,2,2,,False
Enterococcus faecium,Poland,2017,1,0,,False
Enterococcus faecium,Poland,2018,6,6,,False
Enterococcus faecium,Poland,2019,5,5,,False
Enterococcus faecium,Poland,2020,8,8,,False
Enterococcus faecium,Poland,2021,4,4,,False
Enterococcus faecium,Poland,2022,6,6,,False
Enterococcus faecium,Poland,2023,7,7,,False
Enterococcus faecium,Poland,2024,2,2,,False
Enterococcus faecium,Portugal,2004,1,1,,False
Enterococcus faecium,Portugal,2008,1,0,,False
Enterococcus faecium,Portugal,2009,1,1,,False
Enterococcus faecium,Portugal,2011,2,0,,False
Enterococcus faecium,Portugal,2012,4,1,,False
Enterococcus faecium,Portugal,2013,3,3,,False
Enterococcus faecium,Portugal,2014,3,1,,False
Enterococcus faecium,Portugal,2015,6,2,,False
Enterococcus faecium,Portugal,2016,2,0,,False
Enterococcus faecium,Portugal,2018,5,5,,False
Enterococcus faecium,Portugal,2019,5,4,,False
Enterococcus faecium,Portugal,2020,3,3,,False
Enterococcus faecium,Portugal,2021,2,2,,False
Enterococcus faecium,Portugal,2022,7,6,,False
Enterococcus faecium,Portugal,2023,2,2,,False
Enterococcus faecium,Portugal,2024,5,5,,False
Enterococcus faecium,Qatar,2019,2,2,,False
Enterococcus faecium,Qatar,2020,1,0,,False
Enterococcus faecium,Qatar,2021,1,1,,False
Enterococcus faecium,Qatar,2022,2,2,,False
Enterococcus faecium,Qatar,2024,3,3,,False
Enterococcus faecium,Romania,2008,5,1,,False
Enterococcus faecium,Romania,2009,3,0,,False
Enterococcus faecium,Romania,2010,7,0,,False
Enterococcus faecium,Romania,2014,2,1,,False
Enterococcus faecium,Romania,2018,1,1,,False
Enterococcus faecium,Romania,2019,5,5,,False
Enterococcus faecium,Romania,2021,2,1,,False
Enterococcus faecium,Romania,2022,2,2,,False
Enterococcus faecium,Romania,2023,8,8,,False
Enterococcus faecium,Romania,2024,4,3,,False
Enterococcus faecium,Russia,2014,5,5,,False
Enterococcus faecium,Russia,2018,9,9,,False
Enterococcus faecium,Russia,2019,6,6,,False
Enterococcus faecium,Saudi Arabia,2009,4,2,,False
Enterococcus faecium,Saudi Arabia,2011,3,2,,False
Enterococcus faecium,Saudi Arabia,2012,1,1,,False
Enterococcus faecium,Saudi Arabia,2013,2,2,,False
Enterococcus faecium,Saudi Arabia,2016,1,1,,False
Enterococcus faecium,Saudi Arabia,2018,1,1,,False
Enterococcus faecium,Saudi Arabia,2020,3,3,,False
Enterococcus faecium,Singapore,2006,1,0,,False
Enterococcus faecium,Singapore,2010,4,4,,False
Enterococcus faecium,Singapore,2015,1,1,,False
Enterococcus faecium,Singapore,2018,2,2,,False
Enterococcus faecium,Slovenia,2007,4,1,,False
Enterococcus faecium,Slovenia,2021,2,2,,False
Enterococcus faecium,Slovenia,2024,1,1,,False
Enterococcus faecium,South Africa,2007,1,0,,False
Enterococcus faecium,South Africa,2008,1,1,,False
Enterococcus faecium,South Africa,2011,1,0,,False
Enterococcus faecium,South Africa,2012,1,1,,False
Enterococcus faecium,South Africa,2014,1,0,,False
Enterococcus faecium,South Africa,2015,1,1,,False
Enterococcus faecium,South Africa,2016,1,0,,False
Enterococcus faecium,South Africa,2018,2,2,,False
Enterococcus faecium,South Africa,2019,2,1,,False
Enterococcus faecium,South Africa,2020,7,6,,False
Enterococcus faecium,South Africa,2021,4,3,,False
Enterococcus faecium,South Africa,2022,5,5,,False
Enterococcus faecium,South Africa,2024,5,4,,False
Enterococcus faecium,Spain,2004,3,0,,False
Enterococcus faecium,Spain,2005,2,0,,False
Enterococcus faecium,Spain,2007,3,0,,False
Enterococcus faecium,Spain,2008,16,1,6.25,True
Enterococcus faecium,Spain,2009,20,1,5.0,True
Enterococcus faecium,Spain,2010,13,4,30.77,True
Enterococcus faecium,Spain,2011,24,5,20.83,True
Enterococcus faecium,Spain,2012,18,5,27.78,True
Enterococcus faecium,Spain,2013,21,2,9.52,True
Enterococcus faecium,Spain,2014,22,6,27.27,True
Enterococcus faecium,Spain,2015,28,13,46.43,True
Enterococcus faecium,Spain,2016,22,6,27.27,True
Enterococcus faecium,Spain,2017,22,6,27.27,True
Enterococcus faecium,Spain,2018,7,6,,False
Enterococcus faecium,Spain,2019,9,9,,False
Enterococcus faecium,Spain,2020,13,11,84.62,True
Enterococcus faecium,Spain,2021,15,15,100.0,True
Enterococcus faecium,Spain,2022,12,11,91.67,True
Enterococcus faecium,Spain,2023,11,8,72.73,True
Enterococcus faecium,Spain,2024,9,9,,False
Enterococcus faecium,Sweden,2006,3,2,,False
Enterococcus faecium,Sweden,2007,1,0,,False
Enterococcus faecium,Sweden,2011,6,3,,False
Enterococcus faecium,Sweden,2012,2,0,,False
Enterococcus faecium,Sweden,2014,5,5,,False
Enterococcus faecium,Sweden,2019,2,2,,False
Enterococcus faecium,Sweden,2021,5,5,,False
Enterococcus faecium,Sweden,2022,2,1,,False
Enterococcus faecium,Sweden,2024,3,3,,False
Enterococcus faecium,Switzerland,2004,3,0,,False
Enterococcus faecium,Switzerland,2006,1,0,,False
Enterococcus faecium,Switzerland,2008,1,0,,False
Enterococcus faecium,Switzerland,2011,1,0,,False
Enterococcus faecium,Switzerland,2012,2,0,,False
Enterococcus faecium,Switzerland,2013,2,0,,False
Enterococcus faecium,Switzerland,2014,3,1,,False
Enterococcus faecium,Switzerland,2015,5,1,,False
Enterococcus faecium,Switzerland,2016,5,1,,False
Enterococcus faecium,Switzerland,2017,2,0,,False
Enterococcus faecium,Switzerland,2018,4,4,,False
Enterococcus faecium,Switzerland,2019,2,2,,False
Enterococcus faecium,Switzerland,2020,4,3,,False
Enterococcus faecium,Switzerland,2021,3,2,,False
Enterococcus faecium,Switzerland,2022,1,1,,False
Enterococcus faecium,Switzerland,2023,1,0,,False
Enterococcus faecium,Switzerland,2024,1,0,,False
Enterococcus faecium,Taiwan,2006,12,1,8.33,True
Enterococcus faecium,Taiwan,2007,4,1,,False
Enterococcus faecium,Taiwan,2009,4,0,,False
Enterococcus faecium,Taiwan,2014,2,2,,False
Enterococcus faecium,Taiwan,2015,1,0,,False
Enterococcus faecium,Taiwan,2016,6,2,,False
Enterococcus faecium,Taiwan,2017,12,7,58.33,True
Enterococcus faecium,Taiwan,2018,1,1,,False
Enterococcus faecium,Taiwan,2019,3,3,,False
Enterococcus faecium,Taiwan,2020,3,3,,False
Enterococcus faecium,Taiwan,2021,6,6,,False
Enterococcus faecium,Taiwan,2022,12,11,91.67,True
Enterococcus faecium,Taiwan,2023,4,4,,False
Enterococcus faecium,Taiwan,2024,4,4,,False
Enterococcus faecium,Thailand,2009,1,1,,False
Enterococcus faecium,Thailand,2010,1,1,,False
Enterococcus faecium,Thailand,2016,1,1,,False
Enterococcus faecium,Thailand,2019,6,6,,False
Enterococcus faecium,Thailand,2020,8,8,,False
Enterococcus faecium,Thailand,2021,9,9,,False
Enterococcus faecium,Thailand,2022,5,5,,False
Enterococcus faecium,Thailand,2023,4,2,,False
Enterococcus faecium,Thailand,2024,4,3,,False
Enterococcus faecium,Tunisia,2013,1,0,,False
Enterococcus faecium,Turkey,2005,5,2,,False
Enterococcus faecium,Turkey,2006,4,1,,False
Enterococcus faecium,Turkey,2008,3,1,,False
